ID,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Family,Glottolog_Name
Abipon,Abipon,South America,-29.0,-61.0,abip1241,,Guaicuruan,Abipon
Achagua,Achagua,South America,4.38649,-72.2005,acha1250,,Arawakan,Achagua
Ache,Aché,South America,-25.5865,-56.4697,ache1246,,Tupian,Aché
Achuar,Achuar-Shiwiar,South America,-2.82646,-77.2641,achu1248,,Chicham,Achuar-Shiwiar
Aguaruna,Aguaruna,South America,-5.30044,-77.9218,agua1253,,Chicham,Aguaruna
Aikana,Aikanã,South America,-12.6695,-60.5353,aika1237,,,Aikanã
Aiwa,Aʔɨwa,South America,-1.284096,-75.084405,abis1238,,,Aewa
Akuntsu,Akuntsú,South America,-12.8322,-60.9716,akun1241,,Tupian,Akuntsu
Akurio,Akurio,South America,3.19607,-55.6294,akur1238,,Cariban,Akurio
AlacalufeC,Alacalufe (Central),South America,-49.303195,-74.707536,qawa1238,,Kawesqar,Qawasqar
AlacalufeS,Alacalufe (Southern),South America,-49.303195,-74.707536,qawa1238,,Kawesqar,Qawasqar
Amahuaca,Amahuaca,South America,-10.2012,-72.3208,amah1246,,Pano-Tacanan,Amahuaca
Amarakaeri,Amarakaeri,South America,-12.4931,-70.5533,amar1274,,Harakmbut,Amarakaeri
Amundava,Amundava,South America,-9.04023,-62.3064,amun1246,,Tupian,Amundava
AncashQ,Ancash Quechua (Sihuas and Corongo dialects),South America,-8.57647,-77.9864,coro1247,,Quechuan,Corongo Ancash Quechua
Andoa,Andoa,South America,-3.29664,-76.6056,ando1255,,Zaparoan,Andoa
Andoke,Andoke,South America,-0.53751,-72.0869,ando1256,,,Andoque
Apalai,Apalaí,South America,1.49792,-54.7457,apal1257,,Cariban,Apalaí
Apiaka,Apiaká,South America,-7.84711,-57.91,apia1248,,Tupian,Apiaká
Apinaye,Apinayé,South America,-6.10774,-47.6315,apin1244,,Nuclear-Macro-Je,Apinayé
Apurina,Apurinã,South America,-8.21692,-66.7714,apur1254,,Arawakan,Apurinã
Arabela,Arabela,South America,-1.96126,-75.0612,arab1268,,Zaparoan,Arabela
Araona,Araona,South America,-12.4242,-67.7293,arao1248,,Pano-Tacanan,Araona
Shawa,Arara do Acre,,,,,,Panoan,
AraraMG,Arára do Mato Grosso,South America,-9.172609,-60.628867,mato1253,,,Mato Grosso Arára
AraraPara,"Arára, Pará",South America,-3.71263,-53.0657,para1310,,Cariban,Pará Arára
Arawete,Araweté,South America,-4.90246,-52.5001,araw1273,,Tupian,Araweté
Arikapu,Arikapú,South America,-12.4878,-62.7261,arik1265,,Nuclear-Macro-Je,Arikapú
Ashaninka,Asháninka,South America,-11.9311,-73.9073,asha1243,,Arawakan,Asháninka
AsheninkaA,Ashéninka (Apurucayali dialect),South America,-9.82364,-74.61947,ajyi1238,,Arawakan,Ajyíninka Apurucayali
AsheninkaPe,Ashéninka (Perené dialect),South America,-10.9777,-74.9153,ashe1272,,Arawakan,Ashéninka Perené
AsheninkaPi,Ashéninka (Pichis dialect),South America,-10.47249,-74.60281,pich1237,,Arawakan,Pichis Ashéninka
AsheninkaUc,Ashéninka (Ucayali-Yurúa dialect),South America,-9.49424,-73.1836,ucay1237,,Arawakan,Ucayali-Yurúa Ashéninka
AsuriniT,Asuriní do Tocantins,South America,-3.59359,-49.8991,toca1235,,Tupian,Tocantins Asurini
AsuriniX,Asurini do Xingú,South America,-4.13463,-52.321,xing1248,,Tupian,Xingú Asuriní
AvaCanoeiro,Avá-Canoeiro,South America,-13.6081,-48.1336,avac1239,,Tupian,Avá-Canoeiro
AwaCuaiquer,Awa-Cuaiquer,South America,1.21652,-78.3401,awac1239,,Barbacoan,Awa-Cuaiquer
Aweti,Awetí,South America,-12.381944,-53.391944,awet1244,,Tupian,Awetí
