web-scraper-order,web-scraper-start-url,language,language-href,name,code,family,suprasegmental,bibliography,notes,vowels,consonants,location
"1602244405-50","https://linguistics.berkeley.edu/~saphon/en/by-name.php","Warao","https://linguistics.berkeley.edu/~saphon/en/inv/Warao.html","Warao","wba","Isolate","None","Romero-Figueroa, Andrés. 1997. A Reference Grammar of Warao. Munich: Lincom.","null","<table class=""inv"">
<tbody><tr><td class=""key"">Vowels</td><td class=""header"">Front</td><td class=""header"">Central</td><td class=""header"">Back</td></tr>
<tr><td class=""header"">High</td><td>i</td><td></td><td>u</td></tr>
<tr><td class=""header"">Mid</td><td>e</td><td></td><td>o</td></tr>
<tr><td class=""header"">Low</td><td></td><td>a</td><td></td></tr>
</tbody></table>","<table class=""inv"">
<tbody><tr><td class=""key"">Consonants</td><td class=""header"">Bilabial</td><td class=""header"">Alveolar</td><td class=""header"">Palatal</td><td class=""header"">Velar</td><td class=""header"">Labio-<br>velar</td><td class=""header"">Glottal</td></tr>
<tr><td class=""header"">Stop</td><td>p</td><td>t</td><td></td><td>k</td><td>kʷ</td><td></td></tr>
<tr><td class=""header"">Fricative</td><td></td><td>s</td><td></td><td></td><td></td><td>h</td></tr>
<tr><td class=""header"">Nasal</td><td>m</td><td>n</td><td></td><td></td><td></td><td></td></tr>
<tr><td class=""header"">Approximant</td><td></td><td></td><td>j</td><td></td><td>w</td><td></td></tr>
<tr><td class=""header"">Tap, flap</td><td></td><td>ɾ</td><td></td><td></td><td></td><td></td></tr>
</tbody></table>","9°18'25""N 61°21'18""W"
"1602244922-264","https://linguistics.berkeley.edu/~saphon/en/by-name.php","Guajá","https://linguistics.berkeley.edu/~saphon/en/inv/Guaja.html","Guajá","gvj","Tupí","None","Nascimento, Ana Paula Lion Mamede. 2008. Estudo fonético e fonológico da língua Guajá. PhD dissertation, Universidade de Brasília.","null","<table class=""inv"">
<tbody><tr><td class=""key"">Vowels</td><td class=""header"">Front</td><td class=""header"">Central</td><td class=""header"">Back</td></tr>
<tr><td class=""header"">High</td><td>i&nbsp;ĩ</td><td>ɨ&nbsp;ɨ̃</td><td>u&nbsp;ũ</td></tr>
<tr><td class=""header"">Mid</td><td>e&nbsp;ẽ</td><td></td><td>o&nbsp;õ</td></tr>
<tr><td class=""header"">Low</td><td></td><td>a&nbsp;ã</td><td></td></tr>
</tbody></table>","<table class=""inv"">
<tbody><tr><td class=""key"">Consonants</td><td class=""header"">Bilabial</td><td class=""header"">Alveolar</td><td class=""header"">Post-<br>alveolar</td><td class=""header"">Palatal</td><td class=""header"">Velar</td><td class=""header"">Labio-<br>velar</td><td class=""header"">Glottal</td></tr>
<tr><td class=""header"">Stop/affricate</td><td>p</td><td>t</td><td>tʃ</td><td></td><td>k</td><td>kʷ</td><td>ʔ</td></tr>
<tr><td class=""header"">Fricative</td><td></td><td></td><td></td><td></td><td></td><td></td><td>h</td></tr>
<tr><td class=""header"">Nasal</td><td>m</td><td>n</td><td></td><td></td><td></td><td></td><td></td></tr>
<tr><td class=""header"">Approximant</td><td></td><td></td><td></td><td>j</td><td></td><td>w</td><td></td></tr>
<tr><td class=""header"">Tap, flap</td><td></td><td>ɾ</td><td></td><td></td><td></td><td></td><td></td></tr>
</tbody></table>","2°46'01""S 46°29'13""W"
"1602244740-189","https://linguistics.berkeley.edu/~saphon/en/by-name.php","Máíhɨki","https://linguistics.berkeley.edu/~saphon/en/inv/Maihiki.html","Máíhɨki","Orejón","2°59'31""S 72°54'58""W","null","null","Michael, Lev, Stephanie Farmer, and John Sylak. A phonological sketch of Máíhɨki. Ms.","<table class=""inv"">
<tbody><tr><td class=""key"">Consonants</td><td class=""header"">Bilabial</td><td class=""header"">Alveolar</td><td class=""header"">Post-<br>alveolar</td><td class=""header"">Palatal</td><td class=""header"">Velar</td><td class=""header"">Labio-<br>velar</td><td class=""header"">Glottal</td></tr>
<tr><td class=""header"">Plain stop/affricate</td><td>p</td><td>t</td><td>tʃ</td><td></td><td>k</td><td>kʷ</td><td></td></tr>
<tr><td class=""header"">Voiced stop/affricate</td><td>b</td><td>d</td><td>dʒ</td><td></td><td>ɡ</td><td>ɡʷ</td><td></td></tr>
<tr><td class=""header"">Fricative</td><td></td><td>s</td><td></td><td></td><td></td><td></td><td>h</td></tr>
<tr><td class=""header"">Approximant</td><td></td><td></td><td></td><td>j</td><td></td><td>w</td><td></td></tr>
</tbody></table>","<div class=""key"">Family</div><div class=""value"">Tucanoan</div>","ore"
"1602244489-85","https://linguistics.berkeley.edu/~saphon/en/by-name.php","Tapieté","https://linguistics.berkeley.edu/~saphon/en/inv/Tapiete.html","Tapieté","tpj","Tupí","None","González, Hebe Alicia. 2005. A grammar of Tapieté. PhD dissertation, University of Pittsburgh. 43-54.","null","<table class=""inv"">
<tbody><tr><td class=""key"">Vowels</td><td class=""header"">Front</td><td class=""header"">Central</td><td class=""header"">Back</td></tr>
<tr><td class=""header"">High</td><td>i&nbsp;ĩ</td><td>ɨ&nbsp;ɨ̃</td><td>u&nbsp;ũ</td></tr>
<tr><td class=""header"">Mid</td><td>e&nbsp;ẽ</td><td></td><td>o&nbsp;õ</td></tr>
<tr><td class=""header"">Low</td><td></td><td>a&nbsp;ã</td><td></td></tr>
</tbody></table>","<table class=""inv"">
<tbody><tr><td class=""key"">Consonants</td><td class=""header"">Bilabial</td><td class=""header"">Alveolar</td><td class=""header"">Post-<br>alveolar</td><td class=""header"">Velar</td><td class=""header"">Labio-<br>velar</td><td class=""header"">Glottal</td></tr>
<tr><td class=""header"">Plain stop/affricate</td><td>p</td><td>t</td><td>tʃ</td><td>k</td><td>kʷ</td><td>ʔ</td></tr>
<tr><td class=""header"">Voiced stop/affricate</td><td></td><td></td><td>dʒ</td><td></td><td></td><td></td></tr>
<tr><td class=""header"">Prenasalized stop</td><td>mb</td><td>nd</td><td></td><td>ŋɡ</td><td></td><td></td></tr>
<tr><td class=""header"">Fricative</td><td></td><td>s</td><td>ʃ</td><td></td><td></td><td>h</td></tr>
<tr><td class=""header"">Approximant</td><td></td><td></td><td></td><td></td><td>w</td><td></td></tr>
<tr><td class=""header"">Tap, flap</td><td></td><td>ɾ</td><td></td><td></td><td></td><td></td></tr>
</tbody></table>","21°57'50""S 62°47'24""W"
"1602245087-331","https://linguistics.berkeley.edu/~saphon/en/by-name.php","Awetí","https://linguistics.berkeley.edu/~saphon/en/inv/Aweti.html","Awetí","awe","Tupí","None","Drude, Sebastian. 2011. personal communication.","null","<table class=""inv"">
<tbody><tr><td class=""key"">Vowels</td><td class=""header"">Front</td><td class=""header"">Central</td><td class=""header"">Back</td></tr>
<tr><td class=""header"">High</td><td>i&nbsp;ĩ</td><td>ɨ&nbsp;ɨ̃</td><td>u&nbsp;ũ</td></tr>
<tr><td class=""header"">Mid</td><td>ɛ&nbsp;ɛ̃</td><td></td><td>ɔ&nbsp;ɔ̃</td></tr>
<tr><td class=""header"">Low</td><td></td><td>a&nbsp;ã</td><td></td></tr>
</tbody></table>","<table class=""inv"">
<tbody><tr><td class=""key"">Consonants</td><td class=""header"">Bilabial</td><td class=""header"">Alveolar</td><td class=""header"">Retroflex</td><td class=""header"">Palatal</td><td class=""header"">Velar</td><td class=""header"">Glottal</td></tr>
<tr><td class=""header"">Stop</td><td>p</td><td>t</td><td></td><td></td><td>k</td><td>ʔ</td></tr>
<tr><td class=""header"">Affricate</td><td></td><td>ts</td><td></td><td></td><td></td><td></td></tr>
<tr><td class=""header"">Fricative</td><td></td><td></td><td>ʐ</td><td></td><td>ɣ</td><td></td></tr>
<tr><td class=""header"">Nasal</td><td>m</td><td>n</td><td></td><td></td><td>ŋ</td><td></td></tr>
<tr><td class=""header"">Approximant</td><td></td><td></td><td></td><td>j</td><td>w</td><td></td></tr>
<tr><td class=""header"">Tap, flap</td><td></td><td>ɾ</td><td></td><td></td><td></td><td></td></tr>
<tr><td class=""header"">Lateral</td><td></td><td>l</td><td></td><td></td><td></td><td></td></tr>
</tbody></table>","12°57'18""S 53°41'24""W"
"1602245015-302","https://linguistics.berkeley.edu/~saphon/en/by-name.php","Carijona","https://linguistics.berkeley.edu/~saphon/en/inv/Carijona.html","Carijona","cbd","Carib","None","Robayo Moreno, Camilo Alberto. 2001. Avance sobre morfología carijona. In María Stella González de Pérez and María Luisa Rodríguez de Montes (eds.), Lenguas indígenas de Colombia: Una visión descriptiva. Santafe de Bogotá: Instituto Caro y Cuervo. 171.","null","<table class=""inv"">
<tbody><tr><td class=""key"">Vowels</td><td class=""header"">Front</td><td class=""header"">Central</td><td class=""header"">Back</td></tr>
<tr><td class=""header"">High</td><td>i</td><td>ɨ</td><td>u</td></tr>
<tr><td class=""header"">Mid</td><td>e</td><td>ə</td><td>o</td></tr>
<tr><td class=""header"">Low</td><td></td><td>a</td><td></td></tr>
</tbody></table>","<table class=""inv"">
<tbody><tr><td class=""key"">Consonants</td><td class=""header"">Bilabial</td><td class=""header"">Alveolar</td><td class=""header"">Post-<br>alveolar</td><td class=""header"">Palatal</td><td class=""header"">Velar</td><td class=""header"">Glottal</td></tr>
<tr><td class=""header"">Plain stop/affricate</td><td></td><td>t</td><td>tʃ</td><td></td><td>k</td><td></td></tr>
<tr><td class=""header"">Voiced stop/affricate</td><td>b</td><td>d</td><td>dʒ</td><td></td><td>ɡ</td><td></td></tr>
<tr><td class=""header"">Fricative</td><td></td><td>s</td><td></td><td></td><td></td><td>h</td></tr>
<tr><td class=""header"">Nasal</td><td>m</td><td>n</td><td></td><td>ɲ</td><td></td><td></td></tr>
<tr><td class=""header"">Approximant</td><td></td><td></td><td></td><td></td><td>w</td><td></td></tr>
<tr><td class=""header"">Tap, flap</td><td></td><td>ɾ</td><td></td><td></td><td></td><td></td></tr>
</tbody></table>","0°08'53""N 70°42'29""W"
"1602244888-250","https://linguistics.berkeley.edu/~saphon/en/by-name.php","Hup","https://linguistics.berkeley.edu/~saphon/en/inv/Hupde.html","Hup","jup","Nadahup","Tone","Epps, Patience. 2008. A Grammar of Hup. Berlin: Walter de Gruyter. 41.","Epps observes that /pʼ/ is found in only one word.","<table class=""inv"">
<tbody><tr><td class=""key"">Vowels</td><td class=""header"">Front</td><td class=""header"">Central</td><td class=""header"">Back</td></tr>
<tr><td class=""header"">High</td><td>i&nbsp;ĩ</td><td>ɨ&nbsp;ɨ̃</td><td>u&nbsp;ũ</td></tr>
<tr><td class=""header"">Mid-high</td><td>e</td><td></td><td>o</td></tr>
<tr><td class=""header"">Mid</td><td></td><td>ə</td><td></td></tr>
<tr><td class=""header"">Mid-low</td><td></td><td></td><td>ɔ&nbsp;ɔ̃</td></tr>
<tr><td class=""header"">Low</td><td>æ&nbsp;æ̃</td><td>a&nbsp;ã</td><td></td></tr>
</tbody></table>","<table class=""inv"">
<tbody><tr><td class=""key"">Consonants</td><td class=""header"">Bilabial</td><td class=""header"">Alveolar</td><td class=""header"">Palatal</td><td class=""header"">Velar</td><td class=""header"">Glottal</td></tr>
<tr><td class=""header"">Creaky stop</td><td>pʼ&nbsp;b̰</td><td>d̰</td><td>ɟ̰</td><td>ɡ̰</td><td></td></tr>
<tr><td class=""header"">Plain/voiced stop</td><td>p&nbsp;b</td><td>t&nbsp;d</td><td>c</td><td>k&nbsp;ɡ</td><td>ʔ</td></tr>
<tr><td class=""header"">Fricative</td><td></td><td></td><td>ç</td><td></td><td>h</td></tr>
<tr><td class=""header"">Approximant</td><td></td><td></td><td>j&nbsp;j̰</td><td>w&nbsp;w̰</td><td></td></tr>
</tbody></table>","0°06'00""N 69°09'00""W"
"1602244702-173","https://linguistics.berkeley.edu/~saphon/en/by-name.php","Miraña","https://linguistics.berkeley.edu/~saphon/en/inv/Miranya.html","Miraña","boa_mrn","Boran","Tone","Seifart, Frank. 2005. The structure and use of shape-based noun classes in Miraña (North West Amazon). PhD dissertation, Radboud Universiteit.","null","<table class=""inv"">
<tbody><tr><td class=""key"">Vowels</td><td class=""header"">Front</td><td class=""header"">Central</td><td class=""header"">Back</td></tr>
<tr><td class=""header"">High</td><td>i&nbsp;iː</td><td>ɨ&nbsp;ɨː</td><td>ɯ&nbsp;ɯː</td></tr>
<tr><td class=""header"">Mid</td><td>ɛ&nbsp;ɛː</td><td></td><td>o&nbsp;oː</td></tr>
<tr><td class=""header"">Low</td><td></td><td>a&nbsp;aː&nbsp;aʲ&nbsp;aʲː</td><td></td></tr>
</tbody></table>","<table class=""inv"">
<tbody><tr><td class=""key"">Consonants</td><td class=""header"">Bilabial</td><td class=""header"">Alveolar</td><td class=""header"">Post-<br>alveolar</td><td class=""header"">Velar</td><td class=""header"">Labio-<br>velar</td><td class=""header"">Glottal</td></tr>
<tr><td class=""header"">Plain stop/affricate</td><td>p</td><td>t&nbsp;ts</td><td>tʃ</td><td>k</td><td></td><td>ʔ</td></tr>
<tr><td class=""header"">Voiced stop/affricate</td><td>b</td><td>d&nbsp;dz</td><td>dʒ</td><td>ɡ</td><td>ɡʷ</td><td></td></tr>
<tr><td class=""header"">Fricative</td><td>β</td><td></td><td></td><td></td><td></td><td>h</td></tr>
<tr><td class=""header"">Nasal</td><td>m</td><td>n</td><td></td><td></td><td></td><td></td></tr>
<tr><td class=""header"">Tap, flap</td><td></td><td>ɾ</td><td></td><td></td><td></td><td></td></tr>
</tbody></table>","1°19'19""S 70°48'00""W"
"1602244581-123","https://linguistics.berkeley.edu/~saphon/en/by-name.php","Piratapuyo","https://linguistics.berkeley.edu/~saphon/en/inv/Piratapuyo.html","Piratapuyo","Wa'ikhana","0°12'00""N 69°18'00""W","null","null","Stenzel, Kristine and Didier Demolin. 2012. Traços laringais em Kotiria e Wa'ikhana (Tukano Oriental). In Gisela Collischonn e Leda Bisol (eds.), Fonologia: Teorias e Perspectivas-Anais do IV Seminaria Internacional de Fonologia. Porto Alegre: PURS. 77-100.","<table class=""inv"">
<tbody><tr><td class=""key"">Consonants</td><td class=""header"">Bilabial</td><td class=""header"">Alveolar</td><td class=""header"">Palatal</td><td class=""header"">Velar</td><td class=""header"">Glottal</td></tr>
<tr><td class=""header"">Plain stop</td><td>p</td><td>t</td><td></td><td>k</td><td></td></tr>
<tr><td class=""header"">Voiced stop</td><td>b</td><td>d</td><td></td><td>ɡ</td><td></td></tr>
<tr><td class=""header"">Fricative</td><td></td><td>s</td><td></td><td></td><td>h</td></tr>
<tr><td class=""header"">Approximant</td><td></td><td></td><td>j</td><td>w</td><td></td></tr>
</tbody></table>","<div class=""key"">Family</div><div class=""value"">Tucanoan</div>","pir"
"1602244608-134","https://linguistics.berkeley.edu/~saphon/en/by-name.php","Paraujano","https://linguistics.berkeley.edu/~saphon/en/inv/Paraujano.html","Paraujano","pbg","Arawak","None","Patte, Marie-France. 1989. Estudio descriptivo de la lengua Añun (o ""Paraujano""). San Cristóbal: Universidad Católica del Táchira.","null","<table class=""inv"">
<tbody><tr><td class=""key"">Vowels</td><td class=""header"">Front</td><td class=""header"">Central</td><td class=""header"">Back</td></tr>
<tr><td class=""header"">High</td><td>i&nbsp;iː</td><td>ɨ&nbsp;ɨː</td><td>u&nbsp;uː</td></tr>
<tr><td class=""header"">Mid</td><td>e&nbsp;eː</td><td></td><td>o&nbsp;oː</td></tr>
<tr><td class=""header"">Low</td><td></td><td>a&nbsp;aː</td><td></td></tr>
</tbody></table>","<table class=""inv"">
<tbody><tr><td class=""key"">Consonants</td><td class=""header"">Bilabial</td><td class=""header"">Alveolar</td><td class=""header"">Post-<br>alveolar</td><td class=""header"">Palatal</td><td class=""header"">Velar</td><td class=""header"">Glottal</td></tr>
<tr><td class=""header"">Stop/affricate</td><td>p</td><td>t</td><td>tʃ</td><td></td><td>k</td><td></td></tr>
<tr><td class=""header"">Fricative</td><td></td><td></td><td>ʃ</td><td></td><td></td><td>h</td></tr>
<tr><td class=""header"">Nasal</td><td>m</td><td>n</td><td></td><td>ɲ</td><td></td><td></td></tr>
<tr><td class=""header"">Approximant</td><td></td><td></td><td></td><td>j</td><td>w</td><td></td></tr>
<tr><td class=""header"">Tap, flap</td><td></td><td>ɾ</td><td></td><td></td><td></td><td></td></tr>
<tr><td class=""header"">Lateral</td><td></td><td>l</td><td></td><td></td><td></td><td></td></tr>
</tbody></table>","10°29'20""N 72°03'50""W"
